"day","sw_name","percent"
2023-05-19 08:00:00,铁路公路II,0.818
2023-05-19 08:00:00,教育II,0.818
2023-05-19 08:00:00,互联网电商II,0.818
2023-05-19 08:00:00,电机II,0.818
2023-05-19 08:00:00,工程咨询服务II,0.818
2023-05-19 08:00:00,半导体II,0.818
2023-05-19 08:00:00,多元金融II,0.818
2023-05-19 08:00:00,其他建材II,0.818
2023-05-19 08:00:00,家电零部件II,0.818
2023-05-19 08:00:00,煤炭开采II,0.818
2023-05-19 08:00:00,通信运营II,0.655
2023-05-19 08:00:00,广告营销II,0.655
2023-05-19 08:00:00,房地产开发II,0.655
2023-05-19 08:00:00,农化制品II,0.655
2023-05-19 08:00:00,塑料II,0.655
2023-05-19 08:00:00,饮料乳品II,0.655
2023-05-19 08:00:00,贸易II,0.655
2023-05-19 08:00:00,城商行II,0.655
2023-05-19 08:00:00,电池II,0.655
2023-05-19 08:00:00,电子化学品II,0.491
2023-05-19 08:00:00,基础建设II,0.491
2023-05-19 08:00:00,专业工程II,0.491
2023-05-19 08:00:00,Nan,0.491
2023-05-19 08:00:00,白色家电II,0.491
2023-05-19 08:00:00,专业服务II,0.491
2023-05-19 08:00:00,休闲食品II,0.491
2023-05-19 08:00:00,特钢II,0.491
2023-05-19 08:00:00,国有大型银行II,0.491
2023-05-19 08:00:00,军工电子II,0.491
2023-05-19 08:00:00,运输设备II,0.491
2023-05-19 08:00:00,造纸II,0.491
2023-05-19 08:00:00,其他电子II,0.491
2023-05-19 08:00:00,出版II,0.327
2023-05-19 08:00:00,影视院线II,0.327
2023-05-19 08:00:00,商用车II,0.327
2023-05-19 08:00:00,化妆品II,0.327
2023-05-19 08:00:00,光伏设备II,0.327
2023-05-19 08:00:00,体育II,0.327
2023-05-19 08:00:00,地面兵装II,0.327
2023-05-19 08:00:00,小家电II,0.327
2023-05-19 08:00:00,航天装备II,0.327
2023-05-19 08:00:00,股份制银行II,0.327
2023-05-19 08:00:00,普钢II,0.327
2023-05-19 08:00:00,装修装饰II,0.327
2023-05-19 08:00:00,视听器材II,0.327
2023-05-19 08:00:00,非白酒II,0.327
2023-05-19 08:00:00,橡胶II,0.327
2023-05-19 08:00:00,汽车服务II,0.327
2023-05-19 08:00:00,物流II,0.327
2023-05-19 08:00:00,照明设备II,0.327
2023-05-19 08:00:00,综合II,0.327
2023-05-19 08:00:00,个护用品II,0.327
2023-05-19 08:00:00,其他交运设备II,0.327
2023-05-19 08:00:00,种植业II,0.164
2023-05-19 08:00:00,数字媒体II,0.164
2023-05-19 08:00:00,白酒II,0.164
