"day","sw_name","position"
2023-05-19 08:00:00,装修装饰II,74
2023-05-19 08:00:00,视听器材II,75
2023-05-19 08:00:00,非白酒II,76
2023-05-19 08:00:00,橡胶II,77
2023-05-19 08:00:00,汽车服务II,78
2023-05-19 08:00:00,物流II,79
2023-05-19 08:00:00,照明设备II,80
2023-05-19 08:00:00,综合II,81
2023-05-19 08:00:00,个护用品II,82
2023-05-19 08:00:00,其他交运设备II,83
2023-05-19 08:00:00,种植业II,84
2023-05-19 08:00:00,数字媒体II,85
2023-05-19 08:00:00,白酒II,86
2023-05-19 08:00:00,炼化及贸易II,87
2023-05-19 08:00:00,保险II,88
2023-05-19 08:00:00,环保设备II,89
2023-05-19 08:00:00,食品加工II,90
2023-05-19 08:00:00,冶钢原料II,91
2023-05-19 08:00:00,医疗服务II,92
2023-05-19 08:00:00,农商行II,93
2023-05-19 08:00:00,渔业II,94
2023-05-19 08:00:00,生物制品II,95
2023-05-19 08:00:00,专业零售II,96
2023-05-19 08:00:00,工程机械II,97
2023-05-19 08:00:00,工业金属II,98
2023-05-19 08:00:00,化学纤维II,99
2023-05-19 08:00:00,元件II,100
2023-05-19 08:00:00,金属非金属新材料II,101
2023-05-18 08:00:00,电网设备II,1
2023-05-18 08:00:00,通用机械II,2
2023-05-18 08:00:00,电力II,3
2023-05-18 08:00:00,汽车零部件II,4
2023-05-18 08:00:00,服装家纺II,5
2023-05-18 08:00:00,专用设备II,6
2023-05-18 08:00:00,环境治理II,7
2023-05-18 08:00:00,自动化设备II,8
2023-05-18 08:00:00,通信设备II,9
2023-05-18 08:00:00,化学制品II,10
2023-05-18 08:00:00,一般零售II,11
2023-05-18 08:00:00,医疗器械II,12
2023-05-18 08:00:00,计算机设备II,13
2023-05-18 08:00:00,铁路公路II,14
2023-05-18 08:00:00,化学制药II,15
2023-05-18 08:00:00,房地产开发II,16
2023-05-18 08:00:00,船舶制造II,17
2023-05-18 08:00:00,煤炭开采II,18
2023-05-18 08:00:00,IT服务II,19
2023-05-18 08:00:00,电机II,20
2023-05-18 08:00:00,风电设备II,21
2023-05-18 08:00:00,电子制造II,22
2023-05-18 08:00:00,城商行II,23
2023-05-18 08:00:00,航空装备II,24
2023-05-18 08:00:00,教育II,25
2023-05-18 08:00:00,家用轻工II,26
2023-05-18 08:00:00,文娱用品II,27
2023-05-18 08:00:00,多元金融II,28
2023-05-18 08:00:00,纺织制造II,29
2023-05-18 08:00:00,燃气II,30
2023-05-18 08:00:00,互联网电商II,31
2023-05-18 08:00:00,电源设备II,32
2023-05-18 08:00:00,软件开发II,33
2023-05-18 08:00:00,光学光电子II,34
2023-05-18 08:00:00,中药II,35
2023-05-18 08:00:00,包装印刷II,36
2023-05-18 08:00:00,工程咨询服务II,37
2023-05-18 08:00:00,饮料乳品II,38
2023-05-18 08:00:00,股份制银行II,39
2023-05-18 08:00:00,国有大型银行II,40
2023-05-18 08:00:00,通信运营II,41
2023-05-18 08:00:00,游戏II,42
2023-05-18 08:00:00,基础建设II,43
2023-05-18 08:00:00,医药商业II,44
2023-05-18 08:00:00,贸易II,45
2023-05-18 08:00:00,证券II,46
2023-05-18 08:00:00,塑料II,47
2023-05-18 08:00:00,运输设备II,48
2023-05-18 08:00:00,家电零部件II,49
2023-05-18 08:00:00,其他建材II,50
2023-05-18 08:00:00,物流II,51
2023-05-18 08:00:00,广告营销II,52
2023-05-18 08:00:00,地面兵装II,53
2023-05-18 08:00:00,专业工程II,54
2023-05-18 08:00:00,装修装饰II,55
2023-05-18 08:00:00,个护用品II,56
2023-05-18 08:00:00,电池II,57
2023-05-18 08:00:00,出版II,58
2023-05-18 08:00:00,影视院线II,59
2023-05-18 08:00:00,商用车II,60
2023-05-18 08:00:00,航运港口II,61
2023-05-18 08:00:00,农化制品II,62
2023-05-18 08:00:00,半导体II,63
2023-05-18 08:00:00,保险II,64
